<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
GAZP,0,20130902,09:59:59,132.170000000,200
GAZP,0,20130902,09:59:59,132.170000000,4 800
GAZP,0,20130902,09:59:59,132.170000000,5 000
GAZP,0,20130902,09:59:59,132.170000000,600
GAZP,0,20130902,09:59:59,132.170000000,600
GAZP,0,20130902,09:59:59,132.170000000,1 000
GAZP,0,20130902,09:59:59,132.170000000,20
GAZP,0,20130902,09:59:59,132.170000000,100
GAZP,0,20130902,09:59:59,132.170000000,120
GAZP,0,20130902,10:00:01,132.200000000,400
GAZP,0,20130902,10:00:01,132.200000000,100
GAZP,0,20130902,10:00:01,132.200000000,100
GAZP,0,20130902,10:00:01,132.200000000,300
GAZP,0,20130902,10:00:01,132.200000000,100
GAZP,0,20130902,10:00:01,132.200000000,100
GAZP,0,20130902,10:00:01,132.200000000,1 000
GAZP,0,20130902,10:00:01,132.200000000,100
GAZP,0,20130902,10:00:01,132.200000000,560
GAZP,0,20130902,10:00:01,132.100000000,340
GAZP,0,20130902,10:00:01,132.100000000,100
GAZP,0,20130902,10:00:01,132.100000000,300
GAZP,0,20130902,10:00:01,132.100000000,100
GAZP,0,20130902,10:00:01,132.100000000,400
GAZP,0,20130902,10:00:01,132.100000000,4 760
GAZP,0,20130902,10:00:01,132.000000000,10
GAZP,0,20130902,10:00:01,131.990000000,230
GAZP,0,20130902,10:00:01,131.990000000,100
GAZP,0,20130902,10:00:01,131.990000000,40
GAZP,0,20130902,10:00:01,131.920000000,960
GAZP,0,20130902,10:00:01,131.920000000,600
GAZP,0,20130902,10:00:01,131.920000000,600
GAZP,0,20130902,10:00:01,131.920000000,500
GAZP,0,20130902,10:00:01,131.920000000,100
GAZP,0,20130902,10:00:01,131.920000000,300
GAZP,0,20130902,10:00:02,132.300000000,200
GAZP,0,20130902,10:00:02,132.320000000,500
GAZP,0,20130902,10:00:02,132.370000000,2 000
GAZP,0,20130902,10:00:02,132.370000000,60
GAZP,0,20130902,10:00:02,132.370000000,900
GAZP,0,20130902,10:00:02,132.380000000,120
GAZP,0,20130902,10:00:02,132.390000000,200
GAZP,0,20130902,10:00:02,132.390000000,10
GAZP,0,20130902,10:00:02,132.420000000,20
GAZP,0,20130902,10:00:02,132.460000000,600
GAZP,0,20130902,10:00:02,132.500000000,100
GAZP,0,20130902,10:00:02,132.500000000,10
GAZP,0,20130902,10:00:02,132.500000000,100
GAZP,0,20130902,10:00:02,132.520000000,20
GAZP,0,20130902,10:00:02,132.540000000,10
GAZP,0,20130902,10:00:02,132.620000000,20
GAZP,0,20130902,10:00:02,132.690000000,10
GAZP,0,20130902,10:00:02,132.810000000,3 060
GAZP,0,20130902,10:00:02,132.840000000,10
GAZP,0,20130902,10:00:02,132.870000000,2 000
GAZP,0,20130902,10:00:02,132.870000000,50
GAZP,0,20130902,10:00:02,132.000000000,640
GAZP,0,20130902,10:00:02,132.000000000,400
GAZP,0,20130902,10:00:02,131.990000000,3 000
GAZP,0,20130902,10:00:02,132.000000000,960
GAZP,0,20130902,10:00:02,132.020000000,4 000
GAZP,0,20130902,10:00:02,132.680000000,3 790
GAZP,0,20130902,10:00:02,132.870000000,10
GAZP,0,20130902,10:00:02,132.870000000,120
GAZP,0,20130902,10:00:02,132.890000000,200
GAZP,0,20130902,10:00:02,132.900000000,200
GAZP,0,20130902,10:00:02,132.910000000,300
GAZP,0,20130902,10:00:02,132.940000000,10
GAZP,0,20130902,10:00:02,132.950000000,1 500
GAZP,0,20130902,10:00:02,132.980000000,10
GAZP,0,20130902,10:00:02,133.000000000,200
GAZP,0,20130902,10:00:02,133.000000000,100
GAZP,0,20130902,10:00:02,133.000000000,100
GAZP,0,20130902,10:00:02,133.000000000,700
GAZP,0,20130902,10:00:02,133.000000000,70
GAZP,0,20130902,10:00:02,133.040000000,10
GAZP,0,20130902,10:00:02,133.050000000,2 420
GAZP,0,20130902,10:00:02,132.050000000,3 000
GAZP,0,20130902,10:00:02,132.050000000,5 860
GAZP,0,20130902,10:00:02,132.040000000,1 770
GAZP,0,20130902,10:00:02,132.180000000,20
GAZP,0,20130902,10:00:02,132.180000000,20
GAZP,0,20130902,10:00:02,132.180000000,20
GAZP,0,20130902,10:00:02,132.200000000,20
GAZP,0,20130902,10:00:02,132.520000000,20
GAZP,0,20130902,10:00:02,132.080000000,20
GAZP,0,20130902,10:00:02,132.080000000,20
GAZP,0,20130902,10:00:02,132.080000000,20
GAZP,0,20130902,10:00:02,132.080000000,20
GAZP,0,20130902,10:00:02,132.080000000,20
GAZP,0,20130902,10:00:02,132.130000000,20
GAZP,0,20130902,10:00:02,132.130000000,20
GAZP,0,20130902,10:00:02,132.940000000,8 860
GAZP,0,20130902,10:00:02,132.950000000,3 940
GAZP,0,20130902,10:00:03,132.050000000,50
GAZP,0,20130902,10:00:05,132.200000000,20
GAZP,0,20130902,10:00:05,132.250000000,330
GAZP,0,20130902,10:00:09,132.250000000,400
GAZP,0,20130902,10:00:10,132.250000000,3 770
GAZP,0,20130902,10:00:13,132.400000000,700
GAZP,0,20130902,10:00:13,132.400000000,300
GAZP,0,20130902,10:00:13,132.400000000,1 200
GAZP,0,20130902,10:00:13,132.400000000,100
GAZP,0,20130902,10:00:13,132.400000000,2 000
GAZP,0,20130902,10:00:13,132.400000000,2 000
GAZP,0,20130902,10:00:13,132.400000000,100
GAZP,0,20130902,10:00:13,132.400000000,100
GAZP,0,20130902,10:00:13,132.400000000,200
GAZP,0,20130902,10:00:13,132.400000000,2 000
GAZP,0,20130902,10:00:13,132.400000000,110
GAZP,0,20130902,10:00:13,132.400000000,90
GAZP,0,20130902,10:00:13,132.400000000,100
GAZP,0,20130902,10:00:13,132.400000000,1 000
GAZP,0,20130902,10:00:13,132.400000000,2 600
GAZP,0,20130902,10:00:13,132.390000000,20
GAZP,0,20130902,10:00:16,132.330000000,200
GAZP,0,20130902,10:00:16,132.320000000,10
GAZP,0,20130902,10:00:20,132.080000000,30
GAZP,0,20130902,10:00:25,132.240000000,500
GAZP,0,20130902,10:00:25,132.240000000,800
GAZP,0,20130902,10:00:25,132.250000000,200
GAZP,0,20130902,10:00:28,132.280000000,1 000
GAZP,0,20130902,10:00:28,132.280000000,2 000
GAZP,0,20130902,10:00:28,132.280000000,3 000
GAZP,0,20130902,10:00:28,132.280000000,1 800
GAZP,0,20130902,10:00:28,132.280000000,1 060
GAZP,0,20130902,10:00:28,132.290000000,440
GAZP,0,20130902,10:00:28,132.290000000,2 000
GAZP,0,20130902,10:00:28,132.290000000,2 200
GAZP,0,20130902,10:00:28,132.290000000,2 300
GAZP,0,20130902,10:00:28,132.290000000,1 500
GAZP,0,20130902,10:00:28,132.320000000,190
GAZP,0,20130902,10:00:28,132.330000000,500
GAZP,0,20130902,10:00:28,132.330000000,30
GAZP,0,20130902,10:00:28,132.330000000,470
GAZP,0,20130902,10:00:29,132.340000000,30
GAZP,0,20130902,10:00:31,132.380000000,200
GAZP,0,20130902,10:00:33,132.360000000,500
GAZP,0,20130902,10:00:33,132.360000000,200
GAZP,0,20130902,10:00:33,132.350000000,500
GAZP,0,20130902,10:00:33,132.350000000,500
GAZP,0,20130902,10:00:33,132.350000000,1 000
GAZP,0,20130902,10:00:34,132.350000000,170
GAZP,0,20130902,10:00:34,132.350000000,200
