<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
MSNG,0,20130902,10:04:57,1.090900000,45 000
MSNG,0,20130902,10:04:57,1.090900000,30 000
MSNG,0,20130902,10:05:11,1.095000000,5 000
MSNG,0,20130902,10:26:33,1.095000000,23 000
MSNG,0,20130902,10:35:41,1.099900000,3 000
MSNG,0,20130902,10:35:41,1.100000000,1 000
MSNG,0,20130902,10:35:48,1.100000000,2 000
MSNG,0,20130902,10:35:57,1.100000000,3 000
MSNG,0,20130902,10:36:47,1.100000000,80 000
MSNG,0,20130902,10:36:50,1.100800000,5 000
MSNG,0,20130902,10:39:29,1.106000000,1 000
MSNG,0,20130902,10:50:55,1.100100000,1 000
MSNG,0,20130902,11:10:56,1.105000000,1 000
MSNG,0,20130902,11:18:52,1.104700000,1 000
MSNG,0,20130902,11:18:52,1.105000000,1 000
MSNG,0,20130902,11:18:52,1.106000000,1 000
MSNG,0,20130902,11:18:52,1.106700000,10 000
MSNG,0,20130902,11:18:52,1.106700000,11 000
MSNG,0,20130902,11:18:52,1.106700000,10 000
MSNG,0,20130902,11:18:52,1.106700000,3 000
MSNG,0,20130902,11:18:52,1.106800000,2 000
MSNG,0,20130902,11:18:52,1.109000000,5 000
MSNG,0,20130902,11:18:52,1.110000000,5 000
MSNG,0,20130902,11:18:52,1.110000000,25 000
MSNG,0,20130902,11:18:52,1.114600000,10 000
MSNG,0,20130902,11:18:52,1.115000000,25 000
MSNG,0,20130902,11:18:52,1.117000000,5 000
MSNG,0,20130902,11:18:52,1.117600000,2 000
MSNG,0,20130902,11:18:52,1.118500000,30 000
MSNG,0,20130902,11:21:48,1.103000000,1 000
MSNG,0,20130902,11:29:47,1.104100000,2 000
MSNG,0,20130902,11:29:47,1.104000000,1 000
MSNG,0,20130902,11:29:47,1.103500000,5 000
MSNG,0,20130902,11:29:47,1.103500000,2 000
MSNG,0,20130902,11:29:47,1.103000000,4 000
MSNG,0,20130902,11:29:47,1.100900000,30 000
MSNG,0,20130902,11:29:47,1.100200000,10 000
MSNG,0,20130902,11:29:47,1.100100000,4 000
MSNG,0,20130902,11:29:47,1.100100000,1 000
MSNG,0,20130902,11:29:47,1.100100000,26 000
MSNG,0,20130902,11:30:16,1.100100000,41 000
MSNG,0,20130902,11:31:24,1.109900000,1 000
MSNG,0,20130902,11:31:25,1.109900000,1 000
MSNG,0,20130902,11:31:25,1.110000000,1 000
MSNG,0,20130902,11:35:08,1.111000000,2 000
MSNG,0,20130902,11:35:08,1.110700000,6 000
