<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
NASDAQ100,0,20130802,09:31:07,3 125.300000000,0
NASDAQ100,0,20130802,09:32:08,3 122.860000000,806 906
NASDAQ100,0,20130802,09:33:09,3 123.920000000,637 360
NASDAQ100,0,20130802,09:34:10,3 124.090000000,421 928
NASDAQ100,0,20130802,09:35:11,3 125.180000000,681 585
NASDAQ100,0,20130802,09:36:12,3 124.250000000,704 233
NASDAQ100,0,20130802,09:37:13,3 124.270000000,490 547
NASDAQ100,0,20130802,09:38:14,3 122.740000000,671 515
NASDAQ100,0,20130802,09:39:15,3 122.520000000,495 530
NASDAQ100,0,20130802,09:40:16,3 122.380000000,549 658
NASDAQ100,0,20130802,09:41:17,3 122.610000000,489 552
NASDAQ100,0,20130802,09:42:18,3 121.850000000,643 516
NASDAQ100,0,20130802,09:43:19,3 121.720000000,533 996
NASDAQ100,0,20130802,09:44:20,3 121.680000000,549 677
NASDAQ100,0,20130802,09:45:21,3 120.970000000,578 885
NASDAQ100,0,20130802,09:46:22,3 120.340000000,517 257
NASDAQ100,0,20130802,09:47:23,3 119.340000000,410 058
NASDAQ100,0,20130802,09:48:24,3 119.540000000,717 056
NASDAQ100,0,20130802,09:49:25,3 118.640000000,715 836
NASDAQ100,0,20130802,09:50:26,3 118.680000000,444 522
NASDAQ100,0,20130802,09:51:27,3 119.620000000,511 157
NASDAQ100,0,20130802,09:52:28,3 121.580000000,487 278
NASDAQ100,0,20130802,09:53:29,3 120.770000000,515 782
NASDAQ100,0,20130802,09:54:30,3 121.000000000,295 716
NASDAQ100,0,20130802,09:55:31,3 122.250000000,635 362
NASDAQ100,0,20130802,09:56:32,3 122.420000000,542 602
NASDAQ100,0,20130802,09:57:33,3 122.640000000,382 795
NASDAQ100,0,20130802,09:58:34,3 121.130000000,539 301
NASDAQ100,0,20130802,09:59:35,3 121.540000000,250 264
NASDAQ100,0,20130802,10:00:36,3 122.540000000,437 208
NASDAQ100,0,20130802,10:01:37,3 121.550000000,451 385
NASDAQ100,0,20130802,10:02:38,3 121.030000000,500 790
NASDAQ100,0,20130802,10:03:39,3 121.140000000,464 641
NASDAQ100,0,20130802,10:04:40,3 121.870000000,383 308
NASDAQ100,0,20130802,10:05:41,3 121.200000000,331 718
NASDAQ100,0,20130802,10:06:42,3 121.030000000,374 641
NASDAQ100,0,20130802,10:07:43,3 122.370000000,309 868
NASDAQ100,0,20130802,10:08:44,3 122.850000000,433 244
NASDAQ100,0,20130802,10:09:45,3 123.600000000,334 951
NASDAQ100,0,20130802,10:10:46,3 124.350000000,366 566
NASDAQ100,0,20130802,10:11:47,3 124.710000000,284 949
NASDAQ100,0,20130802,10:12:48,3 125.860000000,509 740
NASDAQ100,0,20130802,10:13:49,3 126.410000000,442 693
NASDAQ100,0,20130802,10:14:50,3 126.110000000,325 144
NASDAQ100,0,20130802,10:15:51,3 125.870000000,504 347
NASDAQ100,0,20130802,10:16:52,3 125.290000000,317 893
NASDAQ100,0,20130802,10:17:53,3 126.550000000,288 584
NASDAQ100,0,20130802,10:18:54,3 126.390000000,357 402
NASDAQ100,0,20130802,10:19:55,3 126.300000000,404 372
NASDAQ100,0,20130802,10:20:56,3 126.120000000,436 433
NASDAQ100,0,20130802,10:21:57,3 126.260000000,471 577
NASDAQ100,0,20130802,10:22:58,3 127.070000000,364 904
NASDAQ100,0,20130802,10:23:59,3 126.160000000,344 680
NASDAQ100,0,20130802,10:25:00,3 126.770000000,414 537
NASDAQ100,0,20130802,10:26:01,3 125.750000000,522 499
NASDAQ100,0,20130802,10:27:02,3 125.720000000,409 819
NASDAQ100,0,20130802,10:28:03,3 126.910000000,540 315
NASDAQ100,0,20130802,10:29:04,3 128.600000000,707 183
NASDAQ100,0,20130802,10:30:05,3 129.190000000,522 664
NASDAQ100,0,20130802,10:31:06,3 129.590000000,574 626
NASDAQ100,0,20130802,10:32:07,3 129.220000000,530 300
NASDAQ100,0,20130802,10:33:08,3 129.480000000,371 007
NASDAQ100,0,20130802,10:34:09,3 129.700000000,504 347
NASDAQ100,0,20130802,10:35:10,3 129.520000000,331 152
NASDAQ100,0,20130802,10:36:11,3 130.360000000,310 301
