<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
NASDAQCOMP,0,20130802,09:31:07,3 670.970000000,0
NASDAQCOMP,0,20130802,09:32:08,3 668.910000000,1 675 647
NASDAQCOMP,0,20130802,09:33:09,3 670.000000000,1 465 654
NASDAQCOMP,0,20130802,09:34:10,3 670.190000000,1 130 901
NASDAQCOMP,0,20130802,09:35:11,3 671.010000000,1 478 350
NASDAQCOMP,0,20130802,09:36:12,3 669.280000000,1 791 031
NASDAQCOMP,0,20130802,09:37:13,3 668.670000000,1 281 304
NASDAQCOMP,0,20130802,09:38:14,3 667.150000000,1 455 511
NASDAQCOMP,0,20130802,09:39:15,3 666.860000000,1 232 020
NASDAQCOMP,0,20130802,09:40:16,3 666.510000000,1 353 002
NASDAQCOMP,0,20130802,09:41:17,3 666.380000000,1 297 046
NASDAQCOMP,0,20130802,09:42:18,3 665.560000000,1 502 472
NASDAQCOMP,0,20130802,09:43:19,3 665.670000000,1 253 176
NASDAQCOMP,0,20130802,09:44:20,3 665.880000000,1 300 375
NASDAQCOMP,0,20130802,09:45:21,3 665.270000000,1 399 821
NASDAQCOMP,0,20130802,09:46:22,3 664.710000000,1 176 761
NASDAQCOMP,0,20130802,09:47:23,3 663.930000000,1 080 538
NASDAQCOMP,0,20130802,09:48:24,3 664.600000000,1 348 368
NASDAQCOMP,0,20130802,09:49:25,3 664.230000000,1 325 171
NASDAQCOMP,0,20130802,09:50:26,3 664.780000000,1 172 527
NASDAQCOMP,0,20130802,09:51:27,3 666.040000000,1 354 514
NASDAQCOMP,0,20130802,09:52:28,3 668.270000000,1 231 030
NASDAQCOMP,0,20130802,09:53:29,3 667.790000000,1 109 920
NASDAQCOMP,0,20130802,09:54:30,3 667.970000000,800 292
NASDAQCOMP,0,20130802,09:55:31,3 669.120000000,1 228 151
NASDAQCOMP,0,20130802,09:56:32,3 669.230000000,1 125 108
NASDAQCOMP,0,20130802,09:57:33,3 669.480000000,864 823
NASDAQCOMP,0,20130802,09:58:34,3 667.690000000,1 137 022
NASDAQCOMP,0,20130802,09:59:35,3 667.830000000,663 800
NASDAQCOMP,0,20130802,10:00:36,3 668.820000000,942 266
NASDAQCOMP,0,20130802,10:01:37,3 667.880000000,1 021 859
NASDAQCOMP,0,20130802,10:02:38,3 667.410000000,1 177 201
NASDAQCOMP,0,20130802,10:03:39,3 667.260000000,1 077 377
NASDAQCOMP,0,20130802,10:04:40,3 668.020000000,932 829
NASDAQCOMP,0,20130802,10:05:41,3 667.730000000,921 453
NASDAQCOMP,0,20130802,10:06:42,3 667.570000000,824 106
NASDAQCOMP,0,20130802,10:07:43,3 668.730000000,801 200
NASDAQCOMP,0,20130802,10:08:44,3 669.300000000,865 916
NASDAQCOMP,0,20130802,10:09:45,3 670.150000000,822 428
NASDAQCOMP,0,20130802,10:10:46,3 670.870000000,841 383
NASDAQCOMP,0,20130802,10:11:47,3 671.230000000,797 113
NASDAQCOMP,0,20130802,10:12:48,3 672.400000000,995 358
NASDAQCOMP,0,20130802,10:13:49,3 672.980000000,922 554
NASDAQCOMP,0,20130802,10:14:50,3 672.860000000,785 088
NASDAQCOMP,0,20130802,10:15:51,3 672.750000000,1 059 067
NASDAQCOMP,0,20130802,10:16:52,3 672.230000000,848 032
NASDAQCOMP,0,20130802,10:17:53,3 673.320000000,744 929
NASDAQCOMP,0,20130802,10:18:54,3 673.510000000,791 290
NASDAQCOMP,0,20130802,10:19:55,3 673.580000000,909 132
NASDAQCOMP,0,20130802,10:20:56,3 673.490000000,826 873
NASDAQCOMP,0,20130802,10:21:57,3 673.430000000,835 142
NASDAQCOMP,0,20130802,10:22:58,3 674.050000000,751 449
NASDAQCOMP,0,20130802,10:23:59,3 673.230000000,788 913
NASDAQCOMP,0,20130802,10:25:00,3 673.500000000,756 683
NASDAQCOMP,0,20130802,10:26:01,3 672.550000000,991 396
NASDAQCOMP,0,20130802,10:27:02,3 672.320000000,930 937
NASDAQCOMP,0,20130802,10:28:03,3 673.330000000,936 977
NASDAQCOMP,0,20130802,10:29:04,3 675.210000000,1 333 443
NASDAQCOMP,0,20130802,10:30:05,3 675.850000000,1 020 940
NASDAQCOMP,0,20130802,10:31:06,3 676.200000000,1 065 265
NASDAQCOMP,0,20130802,10:32:07,3 675.730000000,1 105 962
NASDAQCOMP,0,20130802,10:33:08,3 675.800000000,830 086
NASDAQCOMP,0,20130802,10:34:09,3 676.110000000,811 340
NASDAQCOMP,0,20130802,10:35:10,3 675.950000000,839 157
NASDAQCOMP,0,20130802,10:36:11,3 676.850000000,697 559
NASDAQCOMP,0,20130802,10:37:12,3 675.490000000,758 285
NASDAQCOMP,0,20130802,10:38:13,3 675.050000000,772 232
NASDAQCOMP,0,20130802,10:39:14,3 674.990000000,839 545
NASDAQCOMP,0,20130802,10:40:15,3 674.570000000,587 064
NASDAQCOMP,0,20130802,10:41:16,3 674.230000000,710 787
NASDAQCOMP,0,20130802,10:42:17,3 673.920000000,774 386
NASDAQCOMP,0,20130802,10:43:18,3 674.380000000,681 475
NASDAQCOMP,0,20130802,10:44:19,3 674.950000000,764 737
NASDAQCOMP,0,20130802,10:45:20,3 674.780000000,810 269
NASDAQCOMP,0,20130802,10:46:21,3 674.890000000,764 410
NASDAQCOMP,0,20130802,10:47:22,3 674.030000000,758 368
NASDAQCOMP,0,20130802,10:48:23,3 673.080000000,831 638
NASDAQCOMP,0,20130802,10:49:24,3 672.990000000,771 911
NASDAQCOMP,0,20130802,10:50:25,3 673.440000000,775 420
NASDAQCOMP,0,20130802,10:51:26,3 673.330000000,787 872
NASDAQCOMP,0,20130802,10:52:27,3 673.430000000,713 401
NASDAQCOMP,0,20130802,10:53:28,3 672.320000000,1 126 419
NASDAQCOMP,0,20130802,10:54:29,3 672.050000000,843 237
NASDAQCOMP,0,20130802,10:55:30,3 672.590000000,698 192
NASDAQCOMP,0,20130802,10:56:31,3 671.780000000,572 423
NASDAQCOMP,0,20130802,10:57:32,3 671.090000000,689 035
NASDAQCOMP,0,20130802,10:58:33,3 670.740000000,703 660
NASDAQCOMP,0,20130802,10:59:34,3 669.750000000,742 385
NASDAQCOMP,0,20130802,11:00:35,3 670.230000000,759 857
NASDAQCOMP,0,20130802,11:01:36,3 669.750000000,887 735
NASDAQCOMP,0,20130802,11:02:37,3 669.940000000,831 963
NASDAQCOMP,0,20130802,11:03:38,3 669.680000000,664 820
NASDAQCOMP,0,20130802,11:04:39,3 669.490000000,589 210
NASDAQCOMP,0,20130802,11:05:40,3 669.230000000,708 586
NASDAQCOMP,0,20130802,11:06:41,3 669.300000000,714 241
NASDAQCOMP,0,20130802,11:07:42,3 669.440000000,561 328
NASDAQCOMP,0,20130802,11:08:43,3 668.830000000,598 889
NASDAQCOMP,0,20130802,11:09:44,3 668.740000000,668 121
NASDAQCOMP,0,20130802,11:10:45,3 668.800000000,506 475
NASDAQCOMP,0,20130802,11:11:46,3 669.140000000,506 100
NASDAQCOMP,0,20130802,11:12:47,3 668.790000000,525 537
NASDAQCOMP,0,20130802,11:13:48,3 668.920000000,635 568
NASDAQCOMP,0,20130802,11:14:49,3 668.930000000,578 807
NASDAQCOMP,0,20130802,11:15:50,3 669.030000000,651 147
NASDAQCOMP,0,20130802,11:16:51,3 668.850000000,494 529
NASDAQCOMP,0,20130802,11:17:52,3 669.680000000,542 949
NASDAQCOMP,0,20130802,11:18:53,3 670.220000000,530 101
NASDAQCOMP,0,20130802,11:19:54,3 671.280000000,502 617
NASDAQCOMP,0,20130802,11:20:55,3 671.760000000,509 967
NASDAQCOMP,0,20130802,11:21:56,3 671.660000000,561 951
NASDAQCOMP,0,20130802,11:22:57,3 672.070000000,769 950
NASDAQCOMP,0,20130802,11:23:58,3 672.140000000,659 438
NASDAQCOMP,0,20130802,11:24:59,3 672.080000000,1 034 333
NASDAQCOMP,0,20130802,11:26:00,3 672.030000000,544 704
NASDAQCOMP,0,20130802,11:27:01,3 673.370000000,851 677
NASDAQCOMP,0,20130802,11:28:02,3 672.970000000,595 199
NASDAQCOMP,0,20130802,11:29:03,3 673.030000000,632 169
NASDAQCOMP,0,20130802,11:30:04,3 673.410000000,665 379
NASDAQCOMP,0,20130802,11:31:05,3 674.040000000,575 711
NASDAQCOMP,0,20130802,11:32:06,3 673.830000000,529 355
NASDAQCOMP,0,20130802,11:33:07,3 674.030000000,503 453
NASDAQCOMP,0,20130802,11:34:08,3 673.940000000,824 068
NASDAQCOMP,0,20130802,11:35:09,3 673.660000000,662 943
NASDAQCOMP,0,20130802,11:36:10,3 673.700000000,586 629
NASDAQCOMP,0,20130802,11:37:11,3 674.170000000,703 381
NASDAQCOMP,0,20130802,11:38:12,3 674.000000000,557 234
NASDAQCOMP,0,20130802,11:39:13,3 674.250000000,463 530
NASDAQCOMP,0,20130802,11:40:14,3 673.950000000,586 245
NASDAQCOMP,0,20130802,11:41:15,3 673.860000000,432 125
NASDAQCOMP,0,20130802,11:42:16,3 674.320000000,505 661
NASDAQCOMP,0,20130802,11:43:17,3 674.370000000,546 600
NASDAQCOMP,0,20130802,11:44:18,3 673.520000000,630 520
NASDAQCOMP,0,20130802,11:45:19,3 673.690000000,505 390
NASDAQCOMP,0,20130802,11:46:20,3 673.490000000,458 311
NASDAQCOMP,0,20130802,11:47:21,3 673.760000000,559 470
NASDAQCOMP,0,20130802,11:48:22,3 673.590000000,439 573
NASDAQCOMP,0,20130802,11:49:23,3 673.280000000,409 032
NASDAQCOMP,0,20130802,11:50:24,3 673.170000000,554 928
NASDAQCOMP,0,20130802,11:51:25,3 672.710000000,725 364
NASDAQCOMP,0,20130802,11:52:26,3 672.760000000,677 871
NASDAQCOMP,0,20130802,11:53:27,3 672.950000000,747 759
NASDAQCOMP,0,20130802,11:54:28,3 673.470000000,645 843
NASDAQCOMP,0,20130802,11:55:29,3 672.940000000,664 859
NASDAQCOMP,0,20130802,11:56:30,3 673.870000000,510 973
NASDAQCOMP,0,20130802,11:57:31,3 674.010000000,483 290
NASDAQCOMP,0,20130802,11:58:32,3 673.990000000,529 635
NASDAQCOMP,0,20130802,11:59:33,3 674.260000000,525 408
NASDAQCOMP,0,20130802,12:00:34,3 674.250000000,483 893
NASDAQCOMP,0,20130802,12:01:35,3 674.780000000,601 157
NASDAQCOMP,0,20130802,12:02:36,3 675.390000000,607 877
NASDAQCOMP,0,20130802,12:03:37,3 675.250000000,537 606
NASDAQCOMP,0,20130802,12:04:38,3 675.670000000,548 681
NASDAQCOMP,0,20130802,12:05:39,3 674.940000000,829 014
NASDAQCOMP,0,20130802,12:06:40,3 675.020000000,688 096
NASDAQCOMP,0,20130802,12:07:41,3 675.130000000,441 658
NASDAQCOMP,0,20130802,12:08:42,3 675.120000000,589 571
NASDAQCOMP,0,20130802,12:09:43,3 675.510000000,678 874
NASDAQCOMP,0,20130802,12:10:44,3 675.390000000,814 511
NASDAQCOMP,0,20130802,12:11:45,3 675.170000000,470 146
NASDAQCOMP,0,20130802,12:12:46,3 675.420000000,505 743
NASDAQCOMP,0,20130802,12:13:47,3 675.480000000,510 538
NASDAQCOMP,0,20130802,12:14:48,3 675.410000000,608 117
NASDAQCOMP,0,20130802,12:15:49,3 675.340000000,352 293
NASDAQCOMP,0,20130802,12:16:50,3 675.560000000,391 778
NASDAQCOMP,0,20130802,12:17:51,3 675.770000000,431 356
NASDAQCOMP,0,20130802,12:18:52,3 675.490000000,366 718
NASDAQCOMP,0,20130802,12:19:53,3 675.350000000,425 149
NASDAQCOMP,0,20130802,12:20:54,3 675.520000000,407 573
NASDAQCOMP,0,20130802,12:21:55,3 676.280000000,527 985
NASDAQCOMP,0,20130802,12:22:56,3 676.710000000,510 809
NASDAQCOMP,0,20130802,12:23:57,3 676.780000000,406 564
NASDAQCOMP,0,20130802,12:24:58,3 676.510000000,417 843
NASDAQCOMP,0,20130802,12:25:59,3 675.860000000,486 932
NASDAQCOMP,0,20130802,12:27:00,3 675.480000000,412 134
NASDAQCOMP,0,20130802,12:28:01,3 675.180000000,348 500
NASDAQCOMP,0,20130802,12:29:02,3 675.500000000,413 841
NASDAQCOMP,0,20130802,12:30:03,3 676.210000000,381 940
NASDAQCOMP,0,20130802,12:31:04,3 675.990000000,434 336
NASDAQCOMP,0,20130802,12:32:05,3 676.090000000,512 634
NASDAQCOMP,0,20130802,12:33:06,3 676.290000000,540 092
NASDAQCOMP,0,20130802,12:34:07,3 677.460000000,639 666
NASDAQCOMP,0,20130802,12:35:08,3 677.850000000,465 894
NASDAQCOMP,0,20130802,12:36:09,3 677.640000000,486 444
NASDAQCOMP,0,20130802,12:37:10,3 677.610000000,575 251
NASDAQCOMP,0,20130802,12:38:11,3 677.740000000,344 768
NASDAQCOMP,0,20130802,12:39:12,3 677.480000000,394 375
NASDAQCOMP,0,20130802,12:40:13,3 677.170000000,342 202
NASDAQCOMP,0,20130802,12:41:14,3 677.430000000,440 198
NASDAQCOMP,0,20130802,12:42:15,3 677.250000000,545 612
NASDAQCOMP,0,20130802,12:43:16,3 677.360000000,344 936
NASDAQCOMP,0,20130802,12:44:17,3 677.750000000,346 465
NASDAQCOMP,0,20130802,12:45:18,3 677.790000000,358 578
NASDAQCOMP,0,20130802,12:46:19,3 677.820000000,597 498
NASDAQCOMP,0,20130802,12:47:20,3 678.050000000,374 911
NASDAQCOMP,0,20130802,12:48:21,3 678.100000000,507 153
NASDAQCOMP,0,20130802,12:49:22,3 677.870000000,409 538
NASDAQCOMP,0,20130802,12:50:23,3 679.100000000,555 991
NASDAQCOMP,0,20130802,12:51:24,3 678.830000000,385 055
NASDAQCOMP,0,20130802,12:52:25,3 678.920000000,296 804
NASDAQCOMP,0,20130802,12:53:26,3 679.050000000,388 777
NASDAQCOMP,0,20130802,12:54:27,3 678.920000000,405 594
NASDAQCOMP,0,20130802,12:55:28,3 679.020000000,787 672
NASDAQCOMP,0,20130802,12:56:29,3 678.770000000,530 895
NASDAQCOMP,0,20130802,12:57:30,3 678.700000000,375 221
NASDAQCOMP,0,20130802,12:58:31,3 679.050000000,357 425
NASDAQCOMP,0,20130802,12:59:32,3 679.030000000,321 357
NASDAQCOMP,0,20130802,13:00:33,3 678.920000000,429 765
NASDAQCOMP,0,20130802,13:01:34,3 678.730000000,471 255
NASDAQCOMP,0,20130802,13:02:35,3 678.800000000,459 328
NASDAQCOMP,0,20130802,13:03:36,3 678.320000000,447 820
NASDAQCOMP,0,20130802,13:04:37,3 678.080000000,383 157
NASDAQCOMP,0,20130802,13:05:38,3 678.280000000,399 057
NASDAQCOMP,0,20130802,13:06:39,3 678.140000000,454 468
NASDAQCOMP,0,20130802,13:07:40,3 677.670000000,429 984
NASDAQCOMP,0,20130802,13:08:41,3 677.400000000,319 252
NASDAQCOMP,0,20130802,13:09:42,3 677.890000000,358 740
NASDAQCOMP,0,20130802,13:10:43,3 677.770000000,380 931
NASDAQCOMP,0,20130802,13:11:44,3 677.810000000,418 280
NASDAQCOMP,0,20130802,13:12:45,3 678.680000000,570 473
NASDAQCOMP,0,20130802,13:13:46,3 679.040000000,512 289
NASDAQCOMP,0,20130802,13:14:47,3 679.170000000,390 745
NASDAQCOMP,0,20130802,13:15:48,3 679.590000000,364 195
