<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
RUBON=MCX,0,20130802,10:00:05,33.076000000,125 000
RUBON=MCX,0,20130802,10:00:05,33.076500000,272 000
RUBON=MCX,0,20130802,10:00:05,33.076500000,328 000
RUBON=MCX,0,20130802,10:00:05,33.070000000,180 000
RUBON=MCX,0,20130802,10:00:08,33.055000000,1 000
RUBON=MCX,0,20130802,10:00:09,33.055000000,499 000
RUBON=MCX,0,20130802,10:00:14,33.059500000,70 000
RUBON=MCX,0,20130802,10:00:14,33.060000000,128 000
RUBON=MCX,0,20130802,10:00:17,33.056500000,60 000
RUBON=MCX,0,20130802,10:00:25,33.058500000,200 000
RUBON=MCX,0,20130802,10:00:29,33.057000000,143 000
RUBON=MCX,0,20130802,10:00:29,33.059500000,500 000
RUBON=MCX,0,20130802,10:00:29,33.059500000,357 000
RUBON=MCX,0,20130802,10:00:37,33.060000000,200 000
RUBON=MCX,0,20130802,10:00:38,33.060000000,622 000
RUBON=MCX,0,20130802,10:00:38,33.060000000,1 000 000
RUBON=MCX,0,20130802,10:00:38,33.060000000,143 000
RUBON=MCX,0,20130802,10:00:38,33.060000000,953 000
RUBON=MCX,0,20130802,10:00:38,33.060000000,256 000
RUBON=MCX,0,20130802,10:00:38,33.060000000,143 000
RUBON=MCX,0,20130802,10:00:38,33.060000000,200 000
RUBON=MCX,0,20130802,10:00:38,33.060000000,315 000
RUBON=MCX,0,20130802,10:00:38,33.060000000,1 585 000
RUBON=MCX,0,20130802,10:00:38,33.060000000,5 000
RUBON=MCX,0,20130802,10:00:38,33.062000000,138 000
RUBON=MCX,0,20130802,10:00:40,33.070000000,143 000
RUBON=MCX,0,20130802,10:00:40,33.070000000,200 000
RUBON=MCX,0,20130802,10:00:40,33.070000000,143 000
RUBON=MCX,0,20130802,10:00:40,33.070000000,514 000
RUBON=MCX,0,20130802,10:00:40,33.072000000,100 000
RUBON=MCX,0,20130802,10:00:40,33.072000000,200 000
RUBON=MCX,0,20130802,10:00:40,33.072000000,100 000
RUBON=MCX,0,20130802,10:00:40,33.090000000,8 000
RUBON=MCX,0,20130802,10:00:40,33.075000000,140 000
RUBON=MCX,0,20130802,10:00:40,33.074500000,500 000
RUBON=MCX,0,20130802,10:00:40,33.074500000,360 000
RUBON=MCX,0,20130802,10:00:40,33.073000000,10 000
RUBON=MCX,0,20130802,10:00:49,33.075000000,1 000 000
RUBON=MCX,0,20130802,10:00:49,33.071500000,136 000
RUBON=MCX,0,20130802,10:00:51,33.077500000,50 000
RUBON=MCX,0,20130802,10:00:51,33.078000000,140 000
RUBON=MCX,0,20130802,10:00:51,33.079000000,110 000
