<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
RUBUTSTN=MCX,0,20130802,10:00:05,33.090000000,272 000
RUBUTSTN=MCX,0,20130802,10:00:05,33.090000000,228 000
RUBUTSTN=MCX,0,20130802,10:00:06,33.163000000,1 000
RUBUTSTN=MCX,0,20130802,10:00:08,33.054500000,1 000
RUBUTSTN=MCX,0,20130802,10:00:11,33.047000000,1 000
RUBUTSTN=MCX,0,20130802,10:00:17,33.070000000,60 000
RUBUTSTN=MCX,0,20130802,10:00:18,33.069500000,71 000
RUBUTSTN=MCX,0,20130802,10:00:18,33.070000000,529 000
RUBUTSTN=MCX,0,20130802,10:00:18,33.070000000,11 000
RUBUTSTN=MCX,0,20130802,10:00:29,33.070000000,143 000
RUBUTSTN=MCX,0,20130802,10:00:29,33.070000000,172 000
RUBUTSTN=MCX,0,20130802,10:00:30,33.070000000,1 000 000
RUBUTSTN=MCX,0,20130802,10:00:38,33.075000000,2 000 000
RUBUTSTN=MCX,0,20130802,10:00:38,33.077500000,25 000
RUBUTSTN=MCX,0,20130802,10:00:38,33.078000000,1 000 000
RUBUTSTN=MCX,0,20130802,10:00:38,33.079500000,143 000
RUBUTSTN=MCX,0,20130802,10:00:38,33.080000000,300 000
RUBUTSTN=MCX,0,20130802,10:00:38,33.079500000,143 000
RUBUTSTN=MCX,0,20130802,10:00:38,33.079500000,315 000
RUBUTSTN=MCX,0,20130802,10:00:38,33.079500000,1 585 000
RUBUTSTN=MCX,0,20130802,10:00:38,33.079500000,143 000
RUBUTSTN=MCX,0,20130802,10:00:40,33.086500000,25 000
RUBUTSTN=MCX,0,20130802,10:00:40,33.087000000,1 000 000
RUBUTSTN=MCX,0,20130802,10:00:40,33.089500000,143 000
RUBUTSTN=MCX,0,20130802,10:00:40,33.089500000,200 000
RUBUTSTN=MCX,0,20130802,10:00:40,33.089500000,650 000
RUBUTSTN=MCX,0,20130802,10:00:40,33.089500000,143 000
RUBUTSTN=MCX,0,20130802,10:00:40,33.092500000,100 000
RUBUTSTN=MCX,0,20130802,10:00:40,33.091500000,100 000
RUBUTSTN=MCX,0,20130802,10:00:40,33.081000000,1 000
RUBUTSTN=MCX,0,20130802,10:00:40,33.091500000,1 000
RUBUTSTN=MCX,0,20130802,10:00:40,33.092000000,699 000
RUBUTSTN=MCX,0,20130802,10:00:40,33.091500000,25 000
RUBUTSTN=MCX,0,20130802,10:00:40,33.092000000,901 000
RUBUTSTN=MCX,0,20130802,10:00:40,33.089500000,9 000
RUBUTSTN=MCX,0,20130802,10:00:40,33.089500000,5 000
RUBUTSTN=MCX,0,20130802,10:00:40,33.089500000,55 000
RUBUTSTN=MCX,0,20130802,10:00:40,33.089500000,32 000
RUBUTSTN=MCX,0,20130802,10:00:40,33.089000000,15 000
RUBUTSTN=MCX,0,20130802,10:00:40,33.096000000,8 000
RUBUTSTN=MCX,0,20130802,10:00:40,33.087500000,24 000
RUBUTSTN=MCX,0,20130802,10:00:40,33.087000000,500 000
RUBUTSTN=MCX,0,20130802,10:00:40,33.087000000,475 000
RUBUTSTN=MCX,0,20130802,10:00:40,33.087000000,1 000
RUBUTSTN=MCX,0,20130802,10:00:40,33.087500000,175 000
RUBUTSTN=MCX,0,20130802,10:00:40,33.104500000,25 000
RUBUTSTN=MCX,0,20130802,10:00:40,33.105000000,400 000
RUBUTSTN=MCX,0,20130802,10:00:40,33.107000000,500 000
RUBUTSTN=MCX,0,20130802,10:00:40,33.107500000,384 000
RUBUTSTN=MCX,0,20130802,10:00:41,33.117500000,10 000
RUBUTSTN=MCX,0,20130802,10:00:42,33.097500000,10 000
RUBUTSTN=MCX,0,20130802,10:00:42,33.097000000,305 000
RUBUTSTN=MCX,0,20130802,10:00:48,33.085000000,1 000
RUBUTSTN=MCX,0,20130802,10:00:51,33.092500000,110 000
RUBUTSTN=MCX,0,20130802,10:00:53,33.090000000,30 000
RUBUTSTN=MCX,0,20130802,10:00:53,33.090500000,278 000
RUBUTSTN=MCX,0,20130802,10:00:53,33.092500000,475 000
RUBUTSTN=MCX,0,20130802,10:00:53,33.092500000,372 000
RUBUTSTN=MCX,0,20130802,10:00:53,33.092500000,153 000
RUBUTSTN=MCX,0,20130802,10:00:53,33.092500000,247 000
RUBUTSTN=MCX,0,20130802,10:00:53,33.092500000,152 000
RUBUTSTN=MCX,0,20130802,10:00:53,33.102000000,1 000 000
RUBUTSTN=MCX,0,20130802,10:00:54,33.107500000,2 000
RUBUTSTN=MCX,0,20130802,10:00:54,33.107500000,5 000
RUBUTSTN=MCX,0,20130802,10:00:54,33.107500000,6 000
RUBUTSTN=MCX,0,20130802,10:00:54,33.107500000,1 000
RUBUTSTN=MCX,0,20130802,10:00:54,33.107500000,5 000
RUBUTSTN=MCX,0,20130802,10:00:54,33.107500000,15 000
RUBUTSTN=MCX,0,20130802,10:00:54,33.099000000,140 000
RUBUTSTN=MCX,0,20130802,10:00:54,33.098500000,60 000
RUBUTSTN=MCX,0,20130802,10:00:54,33.098500000,1 000
RUBUTSTN=MCX,0,20130802,10:00:54,33.098500000,1 000
RUBUTSTN=MCX,0,20130802,10:00:54,33.098500000,1 000
RUBUTSTN=MCX,0,20130802,10:00:54,33.098500000,5 000
RUBUTSTN=MCX,0,20130802,10:00:54,33.098500000,1 000
RUBUTSTN=MCX,0,20130802,10:00:54,33.098500000,1 000
RUBUTSTN=MCX,0,20130802,10:00:54,33.099000000,5 000
RUBUTSTN=MCX,0,20130802,10:00:54,33.099000000,5 000
RUBUTSTN=MCX,0,20130802,10:00:54,33.100000000,3 000
RUBUTSTN=MCX,0,20130802,10:00:54,33.100000000,10 000
RUBUTSTN=MCX,0,20130802,10:00:57,33.096500000,60 000
RUBUTSTN=MCX,0,20130802,10:01:00,33.099500000,200 000
RUBUTSTN=MCX,0,20130802,10:01:01,33.098000000,66 000
RUBUTSTN=MCX,0,20130802,10:01:04,33.090000000,4 000
RUBUTSTN=MCX,0,20130802,10:01:11,33.088000000,143 000
RUBUTSTN=MCX,0,20130802,10:01:11,33.088000000,357 000
RUBUTSTN=MCX,0,20130802,10:01:11,33.089500000,143 000
RUBUTSTN=MCX,0,20130802,10:01:11,33.090000000,20 000
RUBUTSTN=MCX,0,20130802,10:01:11,33.090000000,15 000
RUBUTSTN=MCX,0,20130802,10:01:11,33.090000000,9 000
RUBUTSTN=MCX,0,20130802,10:01:25,33.100000000,143 000
RUBUTSTN=MCX,0,20130802,10:01:25,33.100000000,551 000
